First Name,Company Name,Company Address
auronex,auronex sdn bhd,"D-04-07, PLAZA BUKIT JALIL (AURORA PLACE), NO 1, PERSIARAN JALIL 1, BANDAR BUKIT JALIL, 57000 KUALA LUMPUR"
averis,averis sdn bhd,"Level 5, Wisma Averis, Tower 2
Avenue 5, Bangsar South
No. 8, Jalan Kerinchi
59200 Kuala Lumpur, Malaysia"
awanbiru,awanbiru technology berhad,"Block 11B, Star Central, Lingkaran Cyber Point Timur, Cyber 12 63000 Cyberjaya, Selangor, Malaysia"
axiata,axiata digital advertising sdn bhd,"Level 32, Axiata Tower, 9, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Malaysia."
axrail,axrail sdn bhd,"Level 2.08,  Menara MBMR, No.1 Jalan Syed Putra, 58000 Kuala Lumpur."
b2be,b2be gss sdn bhd,"Suite A809, Jalan 16/11, Phileo Damansara 1, Off Jalan Damansara, 46350 Petaling Jaya, Selangor, Malaysia"
basf,basf asia pacific service centre sdn bhd,"BASF Asia-Pacific Service Centre Sdn. Bhd.
Level 25, Menara TM, Jalan Pantai Baharu
59200 Kuala Lumpur, Malaysia"
battery,battery low interactive ltd,"House-8,Road-2, Block-J, Baridhara, Dhaka-1212"
berrypay,berrypay m sdn bhd,"F-3-6, Block F, Centrus, CBD Perdana 3, Jalan Perdana, Cyberjaya, Malaysia."
best,best global logistics technology malaysia sdn bhd,"No.1, Jalan Anggerik Mokara 31/47, Kawasan Industri Kota Kemuning, 40460, Shah Alam, Selangor Darul Ehsan"
beuniq,beuniq sdn bhd,"SB-05-06, Menara Paragon, Persiaran Bestari, Cyber 11, Cyberjaya, 63100 Cyberjaya, Selangor"
beyond2u,beyond2u sdn bhd,"Jln BS 9, Taman Bukit Segar, 56100 Cheras, Selangor"
billplz,billplz sdn bhd,"K03-11-13, Level 11, Tower 3 UOA Business Park, 40150 Shah Alam, Selangor"
bmgs,bmgs sdn bhd,"B-G-01, Block B, Sekitar 26 Enterprise, Persiaran Hulu Selangor, Seksyen 26, 40400 Shah Alam, Selangor"
bravesoft,bravesoft inc,"Tamachi front building #6, 4-13-2 Shiba, Minato, Tokyo 108-0014, Japan"
busonlineticket,busonlineticket sdn bhd ,"VO3-11-19, Designer Office (VO3),
Lingkaran SV, Sunway Velocity,
55100 Kuala Lumpur"
caveman,caveman group sdn bhd,"Caveman Group, K03-07-07, Tower 3, UOA Business Park, No 1, Jalan Pengaturcara U1/51a, Seksyen U1, 40150 Shah Alam, Selangor"
centre,centre for lifelong education and learning innovation learn at multimedia university,"Multimedia University, Cyberjaya Campus
Persiaran Multimedia, 63100 Cyberjaya, Selangor, Malaysia"
china,china construction bank malaysia berhad,"Ground Floor, South Block, Wisma Golden Eagle Realty ,142A Jalan Ampang, 50450 Kuala Lumpur"
cibc,cibc technology sdn bhd,"No.21B, Jalan PU 7/4,Taman Puchong Utama,47500 Puchong,Selangor"
cloud,cloud connect sdn bhd,"B2-17-2, Space U8 Eco Mall,
No. 6, Persiaran Pasak Bumi,
Taman Bukit Jelutong, Seksyen U8,
40150 Shah Alam, Selangor D. E."
cocoro,cocoro life malaysia sdn bhd,"No. 1A Persiaran Kuala Langat, Section 27, 40400 Shah Alam, Selangor Darul Ehsan."
codehamster,codehamster solution,"No. 1702, Jalan Senai Utama 1, Taman Senai Utama, 81400 Senai, Johor"
complete,complete human network sdn bhd,"B-30-1, 1st Floor, Pusat Komersial Arena Bintang, Seksyen U5, 40150 Shah Alam, Selangor"
concorde,concorde technology sdn bhd,"L-10-5 & L-10-6, PJX Alam Shah Tower, 16A, Persiaran Barat, Seksyen 52, 46200 Petaling jaya, Selangor"
convene,convene malaysia sdn bhd,"Level 26, Menara Maxis, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Malaysia"
coopbank,coopbank pertama,"Tingkat 2, Wisma JcbNext 27 Lorong Medan Tuanku 1, Off, Jalan Sultan Ismail, 50300 Kuala Lumpur. "
ctc,ctc global sdn bhd,"Dataran Hamodal Level 1 & 2, Lot, 4, Jalan 13/4, Seksyen 13, 46200 Petaling Jaya, Selangor"
cubixi,cubixi worldwide m sdn bhd,"D1-05-07, Tamarind Square, Persiaran Multimedia, Cyber 9, 63000 Cyberjaya, Selangor"
cyber,cyber village sdn bhd,"Unit 901C, Level 9, Tower C, Uptown 5, No. 5 Jalan SS 21/39, Damansara Utama, 47400 Petaling Jaya, Selangor Darul Ehsan, Malaysia."
datum,datum clearmind sdn bhd,"D-9-3, Level 11, Menara Uncang Emas, 85, Jln Loke Yew, 55200 Kuala Lumpur"
dell,dell global business center sdn bhd,"2900, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor"
deloitte,deloitte sea services sdn bhd,"Menara LGB, Level 16, 1, Jalan Wan Kadir, Taman Tun Dr Ismail, 60000 Kuala Lumpur"
dhl,dhl it services,"East Wing AP Info. Services S/B, 3509, 3511, Jalan Teknokrat 5, 63000 Cyberjaya, Selangor"
doerhrm,doerhrm okr  kpi performance management solution malaysia,"29A, Jalan SS 15/4c, Ss 15, 47500 Subang Jaya, Selangor"
duogo,duogo sdn bhd,"A-04-03A, Tamarind Square, Persiaran Multimedia, Cyber 11, 63000 Cyberjaya, Selangor D.E, Malaysia."
e,e soft business solution sdn bhd,"No.1484, Taman Sultan Badlishah, Jalan Pegawai, 05050 Alor Setar, Kedah."
ecava,ecava sdn bhd,97-2 Jalan BK 5a/2 47180 Puchong SELANGOR
ecloud,ecloud sdn bhd,"Pinnacle Petaling Jaya Lorong Utara C A-22-11 Tower A, 46200 Petaling Jaya, Selangor"
ehub,ehub it solutions sdn bhd ,"12-6, Oval Damansara, Jalan Damansara,, Off Lebuhraya Sprint, Batu 7, TTDI, Kuala
Lumpur, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur."
entregreen,entregreen,"9-01, Jalan Ros Merah 2/12, Johor Jaya, 81100 JB , Johor."
eskayef,eskayef pharmaceuticals limited,"Plot 82, Road 14, Block B, Banani, Dhaka 1213, Bangladesh."
ever,ever ai holdings sdn bhd,"12, Jalan Anggerik Aranda 31/170C, Kota Kemuning, 40460 Shah Alam, Selangor
"
experior,experior labs sdn bhd,"201 Lebuh Kampung Jawa
Phase III Free Trade Zone
Bayan Lepas Penang 11900
Malaysia"
ey,ey,"Level 23A, Menara Milenium, Jalan Damanlela, Pusat Bandar Damansara,

Kuala Lumpur 50490"
finexus,finexus international sdn bhd,"FINEXUS Campus, #1 Jalan Pangkor, Titiwangsa Sentral, 53000 Kuala Lumpur"
foong,foong loong electrical sdn bhd,"NO 636, Jalan Nenas 1, Taman Rahang, 70100 Seremban, Negeri Sembilan"
footfallcam,footfallcam,"51-2 Jalan SL1/4, Bandar Sungai Long, Batu 11-1/4, Jalan Cheras, 43200 Kajang, Selangor"
fusionex,fusionex,"Level 12, Tower A, Plaza 33 MSC Cybercenter, 1 Jalan Kemajuan, Section 13, 46200 Petaling Jaya, Selangor, Malaysia"
gameka,gameka sdn bhd,"Suite B-7-7,  Level 7,
Tower B (Wisma Pantai) Plaza Pantai,
No. 5, Jalan 4/83A,
Kampung Kerinchi,
59200 Kuala Lumpur"
gamuda,gamuda berhad,"Menara Gamuda
D-16-01, Block D,
PJ Trade Centre
No. 8, Jalan PJU 8/8A
Bandar Damansara Perdana
47820 Petaling Jaya
Selangor Darul Ehsan, Malaysia"
get,get hyred sdn bhd,"Level 8 & 9, Menara UAC, No. 12, Jalan PJU 7/5 Mutiara Damansara, 
47800, Petaling Jaya, Selangor
"
ghl,ghl systems berhad,"C-G-15 Block C, Jalan Dataran SD 1, Dataran SD PJU 9, Bandar Sri Damansara, 52200 Kuala Lumpur, Malaysia."
globeoss,globeoss sdn bhd,"Unit No. 3B-08-01, Level 8, Tower 3B,
UOA Business Park Shah Alam,
No.1 Jalan Pengaturcara U1/51A, Seksyen U1,
40150 Shah Alam, Selangor, Malaysia."
gpro,gpro global sdn bhd,"No. 29 - 33 , Jalan Hang Tuah 4 , Taman Muhibah , 86000 Kluang , Johor , Malaysia."
gtrade,gtrade technology sdn bhd,"Unit S-5-9, Gamuda Biz Suites, Persiaran Anggerik Vanilla, Kota Kemuning, 40460 Shah Alam, Selangor. Malaysia."
guidewire,guidewire software,"Suite 29-2, Level 29, Vertical Corporate Tower B, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
hilti,hilti asia it services sdn bhd,"Level 6 | Oasis Brunsfield Tower 3 
No. 2 Jalan PJU 1A/7A 
Oasis Square | Oasis Damansara 47301 Petaling Jaya | Selangor"
hitachi,hitachi ebworx sdn bhd,"Level 3A Block B, Axis Business Park, No.10 Jalan Bersatu 13/4, 46200, Petaling Jaya, Selangor Darul Ehsan, Malaysia."
huawei,huawei technologies malaysia sdn bhd,"(545949-D)
Suite 32-01, Level 32,
Integra Tower, The Intermark,
348, Jalan Tun Razak,
50400 Kuala Lumpur, Malaysia"
iboxchain,iboxchain sdn bhd,"A-04-03A, Tamarind Square, Persiaran Multimedia Cyber 11, 63000 Cyberjaya, Selangor, Malaysia "
ict,ict zone ventures berhad,"Ground Floor, Block H, Excella Business Park,Jalan Ampang Putra,Kuala Lumpur,Wilayah Persekutuan, MYS"
idou,idou mcn sdn bhd,"PT16690-Second Floor, Jalan Nilai 3/10, 71800 Nilai Negeri Sembilan"
ifast,ifast service centre sdn bhd,"Level 22, 28 & 29 Menara AIA Sentral, No. 30, Jalan 
Sultan Ismail, 50250 Kuala Lumpur"
imagine,imagine mobile sdn bhd,"Level 3A. Lot 3, Menara Th Uptown, 3, Jalan SS 21/39,Damansara Utama, 47400, Petaling Jaya, Selangor, Malaysia"
infinitilab,infinitilab sdn bhd,"B-04, The Place @, Jalan USJ 25/1, One City, 47650 Subang Jaya, Selangor"
infront,infront consulting group m sdn bhd,"Unit 10-02 Block B, Phileo Damansara 1, 9, Jalan 16/11, 46350 Petaling Jaya, Selangor"
inonity,inonity sdn bhd,"Rekascape, Persiaran APEC, 63000 Cyberjaya, Selangor"
institut,institut terjemahan  buku malaysia itbm ,"Wisma ITBM, 2, Jalan 2/27e, Seksyen 10 Wangsa Maju, 53300 Kuala Lumpur"
intel,intel technology sdn bhd,"Jalan Sultan Azlan Shah, Kawasan Perindustrian Bayan Lepas, Pulau Pinang, 11900 Bayan Lepas"
interbase,interbase resources sdn bhd,"6th Floor, Tower 1, Puchong Financial Corporate Centre, Jalan Puteri 1/2, Bandar Puteri Puchong, 47100, Selangor"
ioi,ioi global services sdn bhd,"Level 28, Ioi City Tower 2, Lebuh IRC, Ioi Resort City, 62502 Putrajaya, Malaysia"
ipinfra,ipinfra networks sdn bhd 1113064d,"F1-14-17, TAMARIND SUITES, PERSIAREN MULTIMEDIA, 63000 CYBERJAYA, SELANGOR, MALAYSIA."
iscity,iscity sdn bhd,"8F-2, Tower 2 @ PFCC, Jalan Puteri 1/2, Bandar Puteri Puchong, 47100 Puchong, Selangor."
itech,itech system engineering sdn bhd,"No 2B, jalan BPU 8, Bandar Puchong Utama, 47100 Puchong, selangor"
jagad,jagad digitalindo,"Metland Transyogi-Cluster Gloxinia, Jalan Gandaria XVII Nomor 77, Cipenjo, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat, Indonesia 16820"
joget,joget inc,"E-05-01, First Floor
Garden Shoppe @ One City
Jalan USJ 25/1C, Subang Jaya
47650 Selangor
Malaysia"
jubin,jubin bms 1990 sdn bhd,"6, Jalan Kencana Emas 2/1, Kawasan Perindustrian Tebrau 3, 81100 Johor Bahru, Johor"
juris,juris technologies ,"Unit 25-01, Level 25, Tower  B
The Vertical Business Suites
Bangsar South
No. 8, Jalan Kerinchi
59200 Kuala Lumpur, Malaysia"
kissy,kissy import and export sdn bhd,"A-20-36, Scott Garden, Jalan Klang Lama Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
kollect,kollect systems sdn bhd,"38-2, Jalan Teknologi 3/6C, Kota Damansara, 47810 Petaling Jaya, Selangor"
konta,konta biz solutions sdn bhd,"Menara Uncang Emas UE3,
No.85, Jalan Loke Yew, Taman Miharja,
55200 Kuala Lumpur."
kpmg,kpmg,"KPMG Tower, 8 First Avenue, Bandar Utama, 47800, Petaling Jaya, Selangor, 47800"
kreateevee,kreateevee sdn bhd,"14, 14-1, 14-2 Jalan Presiden F U1/F, Seksyen U1, Accentra Glenmarie, 40150 Shah Alam."
kyrol,kyrol security labs sdn bhd,"iTech Tower Level 9, 01, Cyberjaya"
lavax,lavax technologies sdn bhd,"2-3, Jalan Merbah 1, Bandar Puchong Jaya, 47170 Puchong, Selangor"
learn,learn at multimedia university cyberjaya campus,"Multimedia University, Cyberjaya campus."
lepro,lepro management services sdn bhd,"SS1-17 Skypod Square, Persiaran Puchong Jaya Selatan, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia."
logicalis,logicalis asia pacific msc sdn bhd,"L2-01, CoPlace3 Block 3740, Persiaran Apec, Cyber 8, 63000 Cyberjaya, Selangor"
longbow,longbow solutions sdn bhd,"No. 2A, Jalan BP 4/6, Bandar Bukit Puchong Industrial Park, 47120 Puchong, Selangor"
lucro,lucro infinity sdn bhd,"E2.05.08, TAMARIND SQUARE, PERSIARAN MULTIMEDIA, 63000, CYBERJAYA"
malayan,malayan banking berhad,"Menara Maybank, 100, Jalan Tun Perak, 50050 Kuala Lumpur"
materialise,materialise sdn bhd,"Unit 5-01, Menara OBYU, No. 4, Jalan PJU 8/8A, Damansara Perdana, 47820 Petaling Jaya, Selangor"
maxis,maxis bhd,"Maxis Tower, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur."
maxwell,maxwell cloud technology sdn bhd,"C-1A-08, Block C Level 1A, Sky Park One City, Jalan USJ 25/1, 47650 Subang Jaya, Selangor, Malaysia."
mayvenr,mayvenr sdn bhd,"Kuala Lumpur, Kuala Lumpur 50450, MY"
medtown,medtown pharmacy satok sdm bhd,"Ground floor, Lot 470, Section 10, Jalan Nanas, 93400 Kuching, Sarawak"
meta,meta research,"51-2, Jalan SL 1/4, Bandar Sungai Long, Batu 11-1/4, Jalan Cheras, 43000 Kajang, Selangor"
mimos,mimos berhad,"Mimos Berhad, Technology Park Malaysia, 57000 Kuala Lumpur, Malaysia"
minara,minara technologies,Riyadh 11371
mnj,mnj group,"block c - t.02 -u.08, no.1 jalan p8D, 62250 wp putrajaya"
moneylion,moneylion malaysia sdn bhd,"Unit No 27-09 Menara Q Sentral, 2A Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur"
moneymatch,moneymatch sdn bhd,"Unit 3.03, Menara LGB, No. 1 Jalan Wan Kadir, Taman Tun Dr. Ismail, 60000 Wilayah Persekutuan, Federal Territory of Kuala Lumpur, Malaysia"
motorgy,motorgy,"Kuwait - motorgy, 8WMR+3PC, 12 St, Shuwaikh Industrial"
mountain,mountain digital agency,"7-02 Jalan Adda 3/1, Taman Adda Heights, Johor Bahru, 81100 Johor"
my,my eg services berhad,"Level UG, MYEG Tower, Empire City,
No. 8, Jalan Damansara, PJU 8,
47820 Petaling Jaya,
Selangor Darul Ehsan"
nep,nep holdings malaysia berhad,"Block B, South City Plaza, Persiaran Serdang Perdana, Taman Serdang Perdana, Seksyen 1, 43300 Seri Kembangan, Selangor."
netizen,netizen experience,"Netizen Testing Sdn. Bhd. (987203-T)
Tower 3-13-7, UOA Business Park,
Jalan Pengaturcara U1/51A,
40150 Shah Alam,
Selangor, Malaysia."
nexagate,nexagate sdn bhd,"BO2-D-13A-1, Boutique Office 2, Menara 3, Jalan Bangsar, Kampung Haji Abdullah Hukum, 59200 Kuala Lumpur"
noble,noble unity technology sdn bhd,"No.691, Jalan Taman Kaya Dua. Taman Kaya. 34000 Taiping, Perak."
ntech,ntech systems sdn bhd,"E-2, 22, IOI Boulevard Puchong, Bandar Puchong Jaya, 47100 Puchong, Selangor"
oaks,oaks solution and studio,"F-07-03, Emporis Persiaran Surian, Jalan Teknologi Seksyen 3, Kota Damansara, Sungai Buloh, 47810 Petaling Jaya, Selangor"
ocbc,ocbc bank malaysia berhad,"4th Floor, Wisma Lee Rubber, 1 Jalan Melaka, 50100 KL, MYS"
ooi,ooi and khor dental surgery,"7, Jalan Anggerik Vanilla N31/N, Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia"
oppstar,oppstar technology sdn bhd,"L2-E-7A, Enterprise 4, Technology Park Malaysia, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
oppty,oppty pte ltd,105 Cecil Street The Octagon #08- 01 Singapore 069534
optimai,optimai malaysia sdn bhd,"No. 19-13, 231 TR Service Suites, 231 Jalan Tun Razak, Imbi, 55100 Kuala Lumpur"
paramit,paramit malaysia sdnbhd,"Plot 372, Penang Science Park,
Lorong Perindustrian Bukit Minyak 21
Taman Perindustrian Bukit Minyak, 14100 Simpang Ampat
Seberang Perai Tengah, Penang, Malaysia"
pejabat,pejabat pendidikan daerah kuala selangor,"Jalan Keramat Tanjung, 45000 Kuala Selangor"
perksense,perksense sdn bhd,"10 Boulevard, 47400, Damansara, KL, Malaysia"
petroliam,petroliam nasional berhad petronas,"Tower 1, PETRONAS Twin Towers, 
Kuala Lumpur City Centre (KLCC),
50088 Kuala Lumpur, Malaysia."
petron,petron malaysia refining  marketing berhad,"Port Dickson Refinery, Jln Pantai, Batu 1 1/2, Negeri Sembilan, 71000 Port Dickson, Negeri Sembilan"
poladrone,poladrone sdn bhd,"Poladrone-L1-Futurise, Persiaran APEC, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia"
postpay,postpay technology sdn bhd,"Level 2 Synergy 9, 9 Jalan Kajibumi U1/70, Temasya Glenmarie, 40150 Selangor, Malaysia"
prokhas,prokhas sdn bhd,"Prokhas Sdn. Bhd. (199801015114)
12th Floor, Bangunan Setia 1
15 Lorong Dungun, Bukit Damansara
50490 Kuala Lumpur, Malaysia."
public,public mutual,"Menara Public Bank 2, No. 78, Jalan Raja Chulan, 50200 Kuala Lumpur, Malaysia."
publicis,publicis groupe,"Level 5 Menara Olympia, 8 Jalan Raja Chulan, 50200 Kuala Lumpur"
pure,pure it solutions,"Riyadh, Mecca Street, Khartoum 10002, Sudan"
qr,qr retail automation sdn bhd,"1-01 Bangunan Yin 1st Floor, 
No. 7 Section 16/11 Off Jalan Damansara, 
Pusat Perdagangan Phileo Damansara, 
46350 Petaling Jaya, Selangor"
qt,qt kidz sdn bhd,"43-1, Jalan MPK 4, Medan Perniagaan Kepayang, 70200 Seremban, Negeri Sembilan"
quickdesk,quickdesk,"WorQ, Unit 3.07, Level 3, KL Gateway Mall Gateway Mall, No 2, Jalan Kerinchi, Pantai Dalam, 59200 Kuala Lumpur"
redhill,redhill travel  tours sdn bhd ," located at No 36, Tingkat, 1, Jalan Ibrahim, Sungai Petani, 08000 Sungai Petani"
regov,regov technologies sdn bhd,"Oasis Square, C-7-01, Capital 3, No.2, Jalan PJU 1A/7, Ara Damansara, 47301 Petaling Jaya, Selangor"
resourceleap,resourceleap consultancy sdn bhd,"A-1-38, IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya 47170 Puchong, Selangor"
roche,roche servicesasia pacific sdn bhd ,"Level 14, The Pinnacle, Persiaran Lagoon, Bandar Sunway
47500 Subang Jaya, Selangor Darul Ehsan, Malaysia"
saphx,saphx technologies sdn bhd,"15B, Jalan Tun Mohd Fuad 3, Taman Tun Dr Ismail, 60000"
sarawak,sarawak information systems sdn bhd,"Level 3, Wisma Bapa Malaysia, Petra Jaya, 93502 Kuching, Sarawak, Malaysia"
selangor,selangor human resource development centre," Jalan Tinju 13/50, Seksyen 13, 40100 Shah Alam, Selangor"
senaidesaru,senaidesaru expressway berhad,"Kompleks Pejabat Pentadbiran, KM22, Lebuhraya E22, 81800 Ulu Tiram, Johor"
senheng,senheng,"44b, Jalan Pandan 3/2, Pandan Jaya, 55100 Kuala Lumpur"
serasi,serasi integrated solutions sdn bhd,"Block C-T.02 - U.08, No 1, Jalan P8D, 63350 WP Putrajaya"
shani,shani entertainment limited,"Intershore Chambers, Road Town, Tortola, British Virgin Islands."
sharp,sharp electronic malaysia sdn bhd,"Section 27, No. 1A, Persiaran Kuala Langat, Taman Bunga Negara, 40400 Shah Alam, Selangor"
shoppr,shoppr labs sdn bhd,"8-07 MENARA MBMR, NO.1 JALAN SYED PUTRA, 58000 KUALA LUMPUR, MALAYSIA"
signing,signing cloud sdn bhd,"Level 5-E-6, Enterprise 4, Technology Park Malaysia Lebuhraya Sg. Besi – Puchong, Bukit Jalil, 57000 Kuala Lumpur, Malaysia"
silverlake,silverlake axis sdn bhd,"First Avenue, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia
"
snappymob,snappymob sdn bhd,"Level 10, B02-C, Menara 3, KL Eco City No. 3, Jalan Bangsar 59200 Kuala Lumpur, MYS"
software,software ag operations malaysia sdn bhd," 2B-1, Level 22, Block 2B, Plaza Sentral Jalan Stesen Sentral 5 Kuala Lumpur Sentral, Brickfields, 50470 Kuala Lumpur"
sony,sony emcs malaysia sdn bhd,"Sony EMCS (Malaysia) Sdn. Bhd.
Lot 5, Jalan Kemajuan,
Bangi Industrial Estate,
43650 Bandar Baru Bangi,
Selangor."
speedhome,speedhome,"A-G-23 Eve Suite
Jalan PJU 1A/41
47301 Petaling Jaya"
speedrent,speedrent technology sdn bhd,"A-G-23, Eve Suite, Jalan PJU 1A/41 47301 Petaling Jaya, Selangor"
steadcom,steadcom,"11-3, Jalan Puteri 2/6, Bandar Puteri, 47100 Puchong, Selangor"
steady,steady it creation,"Lot 4-401 & 4-402, Level 4, The Starling Mall, No. 6,
Jalan SS21/37, Damansara Utama,
47400 Petaling Jaya, Selangor"
sun,sun yuen rubber manufacturing co sdn bhd,"111/113, Hala Perusahaan Menglembu 13, Taman Perindustrian Chandan Raya Menglembu, 31450 Ipoh, Perak"
sunnicasia,sunnicasia malaysia sdn bhd,"Level 3, Menara Axis,No.2,Jalan 
51a/223,Seksyen 51a Petaling Jaya 
46100 Malaysia."
surge,surge ventures sdn bhd,"Block B-7-16, Capital 2 Oasis Square, No 2, Jalan PJU 1A/7A, Ara Damansara, Ara Damansara, 47301 Petaling Jaya, Selangor."
sylvarina,sylvarina skyline travel  tours sdn bhd,"No 50 & 1st Floor, Jalan Tun Tan Siew Sin 50050 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpu, 50050 Kualalampur, Federal Territory of Kuala Lumpur, Malaysia"
talenox,talenox pte ltd,"721 North Bridge Road, #B, Singapore 198689."
tata,tata consultancy services malaysia sdn bhd,"Axiata tower, Level 22A, 9, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur "
teamcloud,teamcloud solution sdn bhd,"20-5, PJ 21, Jalan SS3/39
47300. Petaling Jaya
Selangor Darul Ehsan"
telekom,telekom malaysia berhad,"No 1, Jalan Damansara, Damansara Kim, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
thrift,thrift consulting,"Subang Jaya, 47500, Selangor, Malaysia"
tokio,tokio marine insurans malaysia berhad,"Level 16, Menara Hap Seng 3,
Plaza Hap Seng, No.1, Jalan P. Ramlee,"
top,top glove sdnbhd,"No.16, Persiaran Setia Dagang, Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor"
toyyibpay,toyyibpay,"No 11, Jalan Tasik Selatan 3, Bandar Tasik Selatan, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
tradingpost,tradingpost international ,"A-7-2, Northpoint Office, Mid Valley City, Medan Syed Putra Utara 59200 Kuala Lumpur, Malaysia Tel: +603 2202 2322"
tranglo,tranglo sdn bhd,"Unit 10-1, Tower 9, Avenue 5, The Sphere, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
trigon,trigon tech sdn bhd,"5-1, Jalan Sierra 10/2, Bandar 16 Sierra, 47120 Puchong, Selangor"
twistcode,twistcode,"1-6, Galleria@Cyberjaya, Jalan Teknokrat 6, Cyber 5, 63000 Cyberjaya, Selangor"
uem,uem sunrise berhad,"Level U2, Block C5, Solaris Dutamas, No. 1 Jalan Dutamas 1, 50480 Kuala Lumpur, Malaysia"
unitek,unitek company,"
Lot 9452, No.11 Ground Floor, Yong Siong Hai Building, Simpang 137, Jalan Gadong, BE2719, Brunei Darussalam"
unitele,unitele multimedia sdn bhd,"Ground Floor FIT Building Multimedia University

Cyberjaya, Selangor 63100, Malaysia"
valiantlytix,valiantlytix,"Unit A-12-08, Pinnacle Petaling Jaya, Jalan 51a/223, PJS 52, 46100 Petaling Jaya, Selangor Darul Ehsan"
vectory,vectory innovation sdn bhd ,"2-3, Jalan Merbah 1, Bandar Puchong Jaya, 47100 Puchong, Selangor."
virtual,virtual instrument  system innovation sdn bhd visi,"L-2-1, BLOCK L, PUSAT KOMERSIL PARKLANE, Jalan SS 7/26, 47301 Petaling Jaya, Selangor"
vitrox,vitrox corporation berhad,"746, Persiaran Cassia Selatan 3, Township, 14110 Batu Kawan, Pulau Pinang"
viva,viva city wechat mini programs,"Silk Ventures, 24th Floor, One Canada Square, London E14 5AB, United Kingdom"
webteq,webteq solution sdn bhd,"34-01, 34-02, Jalan Austin Perdana 2/23, Taman Austin Perdana, 81100 Johor Bahru, Johor"
