company_id,Company name,Company address,company_name_slug,company_no,reviews_count,average_company_rating,company_review_summary_url,company_review_url,foreign_company_id,map_address,map_latitude,map_longitude,industry,website_url,Secondary Address,Company Tel,Company Email,Contact Person,Position,FET,FCA,FOB,FCM,FOE,FOM,FIST,FCI,tertiary address
656616,ACT Technology Solutions Sdn Bhd,Centro Business Centre Jalan Batu Tiga Lama Kawasan 16 Klang Selangor Malaysia,act-technology-solutions-656616,1005273-M,3,5,/companies/656616/company-reviews/summary,/companies/656616/company-reviews,96738,Centro Business Centre Jalan Batu Tiga Lama Kawasan 16 Klang Selangor Malaysia,3.052802,101.463057,Others,,,,,,,0,0,0,0,0,0,0,1,
,ADTICLES SDN BHD MONT KIARA KUALA LUMPUR,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
,Advance Communications Sdn Bhd (810975-x),"L2-3A, Paragon @ Pan'gaea, Persiaran Bestari, Cyber 11, 63000 Cyberjaya, Selangor",,,,,,,,,,,,,,03-7803 1145,zuohan88@gmail.com,Mr Zohan Yap,Manager,0,0,0,0,1,0,0,0,
1.56515E+14,Advance Holding,,advance-holding-156515374223324,112845-P,0,0,/companies/156515374223324/company-reviews/summary,/companies/156515374223324/company-reviews,172593,,,,Others,,,,,,,0,0,0,0,1,0,0,0,
,Advanced Solar Voltaic Sdn. Bhd.,"8, Jalan 2/137b, Resource Industrial Centre, 58200 Kuala Lumpur Malaysia.",,,,,,,,,,,,,,03-79805419,,,,0,0,0,0,1,0,0,0,
463513,Advenxus Solutions Sdn. Bhd.,"18 Jalan TPP 5/5, Taman Perindustrian Puchong Seksyen 5, 47100 Puchong, Selangor Malaysia",advenxus-solutions-463513,1015380-A,2,5,/companies/463513/company-reviews/summary,/companies/463513/company-reviews,82750,"18 Jalan TPP 5/5, Taman Perindustrian Puchong Seksyen 5, 47100 Puchong, Selangor Malaysia",3.016199,101.615974,"Consulting (IT, Science, Engineering & Technical)",,,603-8062 8866; -,sf.low@advenxus.com; sf.chong@advenxus.com,Ms Low Siew Foon; Chong Sin Fatt,Admin & Account;  Service Engineer,1,0,0,0,1,0,0,0,
447102,Aemulus Corporation Sdn Bhd,"No 25, Jalan Sultan Azlan Shah, Bayan Lepas Free Industrial Zone, Phase 1, Bayan Lepas, Penang",aemulus-corporation-447102,798015-M,32,3.0313,/companies/447102/company-reviews/summary,/companies/447102/company-reviews,24901,"No 25, Jalan Sultan Azlan Shah, Bayan Lepas Free Industrial Zone, Phase 1, Bayan Lepas, Penang",,,Electrical & Electronics,http://www.aemulus.com,,,miminazirah@aemulus.com,Ms Mimi Nazirah,HR Recruitment Officer,0,0,0,0,1,0,0,0,
866428,AERODYNE GEOSPATIAL SDN. BHD.,"Persiaran Cyber Point Selatan, Cyber 8, 63000 Cyberjaya, Selangor",aerodyne-geospatial-866428,1012585-K,33,2.7273,/companies/866428/company-reviews/summary,/companies/866428/company-reviews,107377,"Persiaran Cyber Point Selatan, Cyber 8, 63000 Cyberjaya, Selangor",3.127535,101.643422,"Consulting (IT, Science, Engineering & Technical)",http://aerodyne.co,,,,,,0,0,0,0,0,0,1,0,
448462,AFA Technologies Sdn Bhd,"No.1, Jalan TTC 7, Taman Teknologi Cheng, Kawasan Perindustrian Cheng, 75250 Melaka.",afa-technologies-448462,590509-T,20,4.2,/companies/448462/company-reviews/summary,/companies/448462/company-reviews,29247,"No.1, Jalan TTC 7, Taman Teknologi Cheng, Kawasan Perindustrian Cheng, 75250 Melaka.",,,Heavy Industrial/Machinery/Equipment,http://www.afa-tech.com,,,lam.wh@afa-tech.com,Lam Wen Haur, Assistant Manager,1,0,0,0,0,0,0,0,
444650,Affinex Innovation Sdn Bhd,"Krystal Point B-2-3, 303 Jalan Sultan Azlan Shah 11900 Penang, Malaysia.",affinex-innovation-444650,631958-P,0,0,,,16677,"Krystal Point B-2-3, 303 Jalan Sultan Azlan Shah 11900 Penang, Malaysia.",5.331347,100.297787,Electrical & Electronics,http://www.affinex.com.my/,,04-6441898,career@affinex.com.my,Chee Bee Hong,,0,0,0,0,1,0,0,0,
440554,Affinity Worldwide Sdn Bhd,Damansara Perdana Petaling Jaya Selangor Malaysia,affinity-worldwide-454063,557689-K,2,4.5,/companies/454063/company-reviews/summary,/companies/454063/company-reviews,46942,Damansara Perdana Petaling Jaya Selangor Malaysia,3.164035,101.612031,Advertising/Marketing/Promotion/PR,,,,,,,0,0,0,1,0,0,0,0,
441037,AFY Haniff Group (M) Sdn. Bhd.,"NO 22 & 24 JALAN SERI EMAS 36, TAMAN SERI TELOK MAS 75460 MELAKA",afy-haniff-group-m-1246423,932397-K,30,3.0333,/companies/1246423/company-reviews/summary,/companies/1246423/company-reviews,151195,"NO 22 & 24 JALAN SERI EMAS 36, TAMAN SERI TELOK MAS 75460 MELAKA",,,Chemical/Fertilizers/Pesticides,,,,,,,0,0,0,1,0,0,0,0,
1.64E+14,AGENSI PEKERJAAN MCS SDN. BHD.,"No. 65-1, Jalan TU 41, Taman Tasik Utama, 75450 Ayer Keroh, Melaka, Malaysia.",agensi-pekerjaan-mcs-163540223877636,398468-P,1,1,/companies/163540223877636/company-reviews/summary,/companies/163540223877636/company-reviews,225583,"No. 65-1, Jalan TU 41, Taman Tasik Utama, 75450 Ayer Keroh, Melaka, Malaysia.",,,Others,https://apmcs.com.my/,,,,,,0,0,0,0,0,0,1,0,
,"AGMO TECH SDN BHD, PETALING JAYA SELANGOR",,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
453230,AGTIV Consulting Sdn Bhd,"D-35-05, Menara Suezcap 1, KL Gateway, No 2, Jalan Kerinchi, Gerbang Kerinchi Lestari, 59200, Kuala Lumpur, Malaysia.",agtiv-consulting-453230,826140-H,56,4.6964,/companies/453230/company-reviews/summary,/companies/453230/company-reviews,44479,"D-35-05, Menara Suezcap 1, KL Gateway, No 2, Jalan Kerinchi, Gerbang Kerinchi Lestari, 59200, Kuala Lumpur, Malaysia.",3.11805,101.67641,Computer/Information Technology (Software),http://www.agtiv.com,,,,,,0,0,0,0,0,0,0,1,
611974,Ahmad Abdullah & Goh,"Suite 1705, Level 17, Menara Landmark, 12 Jalan Ngee Heng, 80000, Johor Bahru, Johor, Malaysia.",ahmad-abdullah-n-goh-611974,AF 0381,2,4,/companies/611974/company-reviews/summary,/companies/611974/company-reviews,8981,,,,Consulting (Business & Management),,,,,,,0,0,1,0,0,0,0,0,
439422,AIC Semiconductor Sdn Bhd,"Jalan Hi-tech 4, Kulim Hi-tech Park, 09000 Kulim, Kedah, Malaysia",aic-semiconductor-439422,355409-P,18,3.5556,/companies/439422/company-reviews/summary,/companies/439422/company-reviews,150,"Jalan Hi-tech 4, Kulim Hi-tech Park, 09000 Kulim, Kedah, Malaysia",5.424671,100.597499,Electrical & Electronics,,,,,,,0,0,0,0,0,0,0,1,
1.62E+14,AIME HEALTHCARE SDN. BHD.,"A-18-01, Northpoint, Midvalley City",aime-healthcare-161770816639529,1228025-M,2,5,/companies/161770816639529/company-reviews/summary,/companies/161770816639529/company-reviews,206285,"A-18-01, Northpoint, Midvalley City",,,Healthcare/Medical,,,,,,,0,0,0,0,0,0,0,1,
440439,AIMS Data Centre Sdn Bhd,"Level 18, Menara AIMS fka Menara Aik Hua, Changkat Raja Chulan Kuala Lumpur 50200",aims-data-centre-440439,200085-H,9,4.6667,/companies/440439/company-reviews/summary,/companies/440439/company-reviews,3310,"Level 18, Menara AIMS fka Menara Aik Hua, Changkat Raja Chulan Kuala Lumpur 50200",3.149437,101.706274,Computer/Information Technology (Software),,,"03-2031 4988

",carmen.tan@aims.com.my,Ms. Carmen Tan,,0,0,0,0,1,0,0,0,
1.57E+14,AINQA Group of Companies,"Lot 7.01 B & C, Menara BRDB,285 Jalan Maarof, Bukit Bandaraya,59000 Kuala Lumpur, Malaysia.",ainqa-group-of-companies-157172366413779,650092-H,2,2.5,/companies/157172366413779/company-reviews/summary,/companies/157172366413779/company-reviews,177226,"Lot 7.01 B & C, Menara BRDB,285 Jalan Maarof, Bukit Bandaraya,59000 Kuala Lumpur, Malaysia.",,,Computer/Information Technology (Software),,,,,,,0,0,0,0,0,0,0,1,
610071,AirAsia,"RedQ, Jalan Pekeliling 5, KLIA2,64000 Sepang, Selangor D.E",airasia-610071,284669-W,727,4.3315,/companies/610071/company-reviews/summary,/companies/610071/company-reviews,2973,"RedQ, Jalan Pekeliling 5, KLIA2,64000 Sepang, Selangor D.E",,,Aerospace/Aviation/Airline,http://www.airasia.com/,"Level 4 KL Sentral 50470 Kuala Lumpur, Kuala Lumpur Malaysia",,,,,0,0,0,0,0,0,0,1,
1.60186E+14,AirAsia Berhad Malaysia,"LCC Terminal, Jalan S3, Southern Support Zone Kuala Lumpur International Airport, Sepang 64000 Selangor Malaysia.",airasia-berhad-malaysia-160186055139278,,33,4.7879,/companies/160186055139278/company-reviews/summary,/companies/160186055139278/company-reviews,194658,,,,Others,,,03-86604333,,Sara Farina,,0,0,0,0,1,0,0,0,
1.67E+14,AISZZY ELECTRONICS ENTERPRISE,"No. 13A, Jalan Kristal L7/L, Seksyen 7, Shah Alam, 40000, Selangor",aiszzy-electronics-enterprise-166866622329452,SA0377756-H,0,0,/companies/166866622329452/company-reviews/summary,/companies/166866622329452/company-reviews,308995,"No. 13A, Jalan Kristal L7/L, Seksyen 7, Shah Alam, 40000, Selangor",,,Electrical & Electronics,,,,aiszzyelectronics@gmail.com,Nur \'aqilah Binti Zainuddin, Miss,1,0,0,0,0,0,0,0,
,"AK CUSTOM CAR CRAF, DOHA QATAR",,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
,AK SPORTS PROSHOP SDN BHD,"No. 13, Jalan MP 16, Taman Merdeka Permai, Batu Berendam, 75350, Melaka, Malaysia.",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,
454231,Al Hijrah Media Corporation,Kompleks Pusat Islam Malaysia Tasik Perdana Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,al-hijrah-media-corporation-454231,872710-D,21,4.4762,/companies/454231/company-reviews/summary,/companies/454231/company-reviews,47459,Kompleks Pusat Islam Malaysia Tasik Perdana Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,3.140293,101.691352,Entertainment/Media,,,'017-8780942',izuddin@tvahijrah.com,Mohd Izuddin Bin Yaakub, Ketua Jabatan Kreatif,0,1,0,0,0,0,0,0,
1.61E+14,Al Najjah,,al-najjah-160939546886803,MA0164236-M,0,0,/companies/160939546886803/company-reviews/summary,/companies/160939546886803/company-reviews,199471,,,,Manufacturing/Production,,,,,,,1,0,0,0,0,0,0,0,"GF NO JB 4886 JALAN BAZAR TAMAN SUNGAI RAMBAI PERDANA, 77400 Malacca City"
,Al Sadd Consulting Engineering Co.,,,,,,,,,,,,,,,,a.altegani@alsaddconsult.com,Ahmed Altegani, Senior Mechanical Engineer,1,0,0,0,0,0,0,0,"Salwa Rd, Doha, Qatar"
,Al Solymany Steel,"Al-Mahd Street Riyadh KSA , SAU",,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,
,Alaf Baru Komputer & Sistem Sdn Bhd,"The Cube, No. 6, Jalan Puteri 7/15, Bandar Puteri, Puchong 47100 Selangor Malaysia.",,,,,,,,,,,,,,03-80689555,,Raja Azman,Business Development Director,0,0,0,0,1,0,0,0,
441184,Aldercy Shared Services Sdn Bhd,,aldercy-shared-services-1251522,1281266-U,1,5,/companies/1251522/company-reviews/summary,/companies/1251522/company-reviews,152404,,,,Computer/Information Technology (Software),,,,,,,0,0,0,1,0,0,0,0,
1.63309E+14,ALI SHAH HASHIM & CO,,ali-shah-hashim-n-co-163308749032885,AF001882,0,0,/companies/163308749032885/company-reviews/summary,/companies/163308749032885/company-reviews,220271,,,,Others,,"Block 4803, Suite 03-03, CBD Perdana 1, Persiaran Flora, 63000 Cyberjaya, Selangor",03-83226591,,,,0,0,0,0,0,1,0,0,
442254,Aljazeera International (Malaysia) Sdn Bhd,"Suite 27-04, Level 27 GTower, 199 Jalan Tun Razak 50400 Kuala Lumpur",aljazeera-international-malaysia-443188,704385-V,2,5,/companies/443188/company-reviews/summary,/companies/443188/company-reviews,12306,"Suite 27-04, Level 27 GTower, 199 Jalan Tun Razak 50400 Kuala Lumpur",,,Entertainment/Media,http://www.aljazeera.com,,,,,,0,0,0,1,0,0,0,0,
651804,Alkhorayef Industrial,"Riyadh, Riyadh Province, Saudi Arabia",alkhorayef-industrial-651804,1010061089,0,0,/companies/651804/company-reviews/summary,/companies/651804/company-reviews,80053,"Riyadh, Riyadh Province, Saudi Arabia",24.711667,46.724167,Electrical & Electronics,,,,,,,1,0,0,0,0,0,0,0,
1.6E+14,ALLO TECHNOLOGY SDN. BHD.,"Cyberview Garden Villas, Persiaran Multimedia, Cyber 7, 63000 Cyberjaya, Selangor.",allo-technology-159678109521426,2E+11,5,4.4,/companies/159678109521426/company-reviews/summary,/companies/159678109521426/company-reviews,191236,"Cyberview Garden Villas, Persiaran Multimedia, Cyber 7, 63000 Cyberjaya, Selangor.",,,Telecommunication,http://www.allo.my,,,,,,0,0,0,0,0,0,0,1,
1305534,ALNOOR INTERNATIONAL SCHOOLS,"No.4 & 6 Lengkok Bellamy, Jalan Bellamy, off Jalan Istana, Bukit Petaling, 50460 Kuala Lumpur, Malaysia",alnoor-international-schools-1305534,735700-W,4,3.5,/companies/1305534/company-reviews/summary,/companies/1305534/company-reviews,164423,"No.4 & 6 Lengkok Bellamy, Jalan Bellamy, off Jalan Istana, Bukit Petaling, 50460 Kuala Lumpur, Malaysia",,,Accounting/Audit/Tax Services,https://ais-kl.edu.my/,,,,,,0,0,0,0,0,0,0,1,
457738,Alpha Red Solutions Sdn Bhd,"No. 16, Jalan Metro 1/2, Bandar Metro Puchong, 47160 Puchong, Selangor.",alpha-red-solutions-457738,870545-X,14,2.5714,/companies/457738/company-reviews/summary,/companies/457738/company-reviews,58964,Puchong,,,Computer/Information Technology (Software),http://www.alphareds.com,,,,,,0,0,0,0,0,0,0,1,
,Alphabot Machinery Sdn. Bhd.,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,"Lot 1145, Jalan Bakariah, 84000 Muar, Johor, Muar, Malaysia"
1.63E+14,ALPHASWIFT INDUSTRIES SDN. BHD.,"07-2A, Kenwingston Business Centre, Persiaran Bestari Cyber 9, 63000 Cyberjaya, Selangor, Malaysia.",alphaswift-industries-163410622273045,1394695-W,0,0,/companies/163410622273045/company-reviews/summary,/companies/163410622273045/company-reviews,223036,"07-2A, Kenwingston Business Centre, Persiaran Bestari Cyber 9, 63000 Cyberjaya, Selangor, Malaysia.",,,Aerospace/Aviation/Airline,https://alphaswift.com/,,,shian@alphaswift.com,Shian Lee, Ceo Of Company,1,0,0,0,0,0,0,0,
,ALPHV TECHNOLOGIES SDN BHD,"ALPHV Technologies Sdn Bhd Level 23-1, Premier Suite, 1 Mont Kiara No 1, Jalan Kiara Mont Kiara 50480 Kuala Lumpur, W.P. Kuala Lumpur",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,
461115,Alpro Pharmacy Sdn Bhd,"Unit V1-A, Lot 45880, Jalan Techvalley 3/2, Sendayan Techvalley,71950, Negeri Sembilan.",alpro-pharmacy-461115,561739-W,99,3.7475,/companies/461115/company-reviews/summary,/companies/461115/company-reviews,75491,"Unit V1-A, Lot 45880, Jalan Techvalley 3/2, Sendayan Techvalley,71950, Negeri Sembilan.",2.536424,101.806814,Healthcare/Medical,http://www.alpropharmacy.com,,,,,,0,0,0,1,0,0,0,1,
442500,Alunan Asas Sdn Bhd,"No 131, Jalan Kenari 23A,
Bandar Puchong Jaya,
47100 Puchong, 
Selangor Darul Ehsan,
Malaysia",alunan-asas-443828,257699-V,35,3.6857,/companies/443828/company-reviews/summary,/companies/443828/company-reviews,14156,"No 131, Jalan Kenari 23A,
Bandar Puchong Jaya,
47100 Puchong, 
Selangor Darul Ehsan,
Malaysia",,,Construction/Building/Engineering,,,,,,,0,0,0,1,0,0,0,0,
,ALVA PRODUCTIONS SDN BHD,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
1281486,AMMETLIFE INSURANCE BERHAD(PROFAST),"Level 22, Menara 1 Sentrum No.201, Jalan Tun Sambanthan",ammetlife-insurance-berhadprofast-1281486,,10,4.7,/companies/1281486/company-reviews/summary,/companies/1281486/company-reviews,159454,,,,Others,,,,,,,0,0,0,0,0,0,1,0,
,"AMREC (Pusat Penyelidikan Bahan Termaju), SIRIM Berhad","Lot 34, Jalan Hi-Tech 2/3, Kulim Hi-Tech Park Kulim 9000 Kedah Malaysia.",,,,,,,,,,,,,,08-55446613,,Mazni Binti Muhamad,,0,0,0,0,1,0,0,0,
,ANAABU,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
,ANALOA MALAYSIA SDN BHD,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
442678,ANBA ADVERTISING,,anba-advertising-162987241910801,000977718-P,0,0,/companies/162987241910801/company-reviews/summary,/companies/162987241910801/company-reviews,216193,,,,Advertising/Marketing/Promotion/PR,,,,,,,0,0,0,1,0,0,0,0,
453532,Angsana Tunas Sdn Bhd,"Lot 3811, Jalan 4D, Kg Baru Subang, Seksyen U6, 40150 Shah Alam Selangor.",angsana-tunas-453532,569723-M,3,4,/companies/453532/company-reviews/summary,/companies/453532/company-reviews,45410,"Lot 3811, Jalan 4D, Kg Baru Subang, Seksyen U6, 40150 Shah Alam Selangor.",3.134197,101.535323,Telecommunication,,,03-78439522,,Loi Teik Ooi,,0,0,0,0,1,0,0,0,
443044,Animasia Studio Sdn Bhd,"No. 2 & 4, Jalan Sri Jati 2, Taman Sri Jati, OffJalan Puchong, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",animasia-studio-447874,703999-M,23,3.9565,/companies/447874/company-reviews/summary,/companies/447874/company-reviews,27425,"No. 2 & 4, Jalan Sri Jati 2, Taman Sri Jati, OffJalan Puchong, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.077016,101.662767,Arts/Design/Fashion,,,,,,,0,0,0,1,0,0,0,0,
,Another Planet Sdn Bhd,,,,,,,,,,,,,,,'014-3488123',mo@planetfilms.com,Muhammad Bahir, Producer,0,1,0,0,0,0,0,0,
766023,Ansell Global Trading Center (Malaysia) Sdn Bhd,"Prima 6, Prima Avenue, Block 3512, Jalan Teknokrat 6, 63000 Cyberjaya, Selangor",ansell-global-trading-center-malaysia-766023,143940-T,5,4,/companies/766023/company-reviews/summary,/companies/766023/company-reviews,98079,"Prima 6, Prima Avenue, Block 3512, Jalan Teknokrat 6, 63000 Cyberjaya, Selangor",,,Polymer/Plastic/Rubber/Tyres,http://www.ansell.com/en,,,,,,0,0,0,0,0,1,0,0,
,Ansell Malaysia Sdn Bhd,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,"Ansell Services Asia Sdn Bhd Prima 6, Prima Avenue, Block 3512 Jalan Teknokrat 6 63000 Cyberjaya, Malaysia"
458100,APAC Venture Sdn Bhd,"Unit B-5-30, Fifth Floor, Block Bougainvillea, 10 Boulevard, Damansara, PJU 6A, 47400 Petaling Jaya, Selangor.",apac-venture-458100,936959-H,18,3.8333,/companies/458100/company-reviews/summary,/companies/458100/company-reviews,60485,"Unit B-5-30, Fifth Floor, Block Bougainvillea, 10 Boulevard, Damansara, PJU 6A, 47400 Petaling Jaya, Selangor.",3.132431,101.614006,Computer/Information Technology (Software),,,,,,,0,0,0,0,0,0,0,1,
,APICAL (MALAYSIA) SDN BHD,"Level 12A, Tower 2, Avenue 5, Bangsar South City, No. 8 Jalan Kerinchi, 59200 Kuala Lumpur, Malaysia.",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,
,Apparat Sdn Bhd,,,,,,,,,,,,,,,'019-2347317',nansolo@gmail.com,Nandita Solomon, CEO & Producer,0,1,0,0,0,0,0,0,
,AQ WISE SDN BHD,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
,ARAB DISTRIBUTER FINANCE COMPANY,"3L , MAWASIM TOWER, KING FAHAD DISTRICT,MAKKAH ,SAUDI ARABIA",,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,
,Arara Entertainment Sdn Bhd,,,,,,,,,,,,,,,'012-2653253',fungrytv@gmail.com,Razif Hashim, Company Director,0,1,0,0,0,0,0,0,
443188,Arise Consulting Sdn Bhd,,arise-consulting-158152465723115,784357-H,1,5,/companies/158152465723115/company-reviews/summary,/companies/158152465723115/company-reviews,184206,,,,Consulting (Business & Management),http://www.arise-consulting.net/,,,,,,0,0,0,1,0,0,0,0,
443380,ARISSA DIGITAL SDN BHD,"NO. 42A, LORONG PERAK, PUSAT BANDAR MELAWATI, TAMAN MELAWATI, KUALA LUMPUR",arissa-digital-165594733311064,629251-U,0,0,/companies/165594733311064/company-reviews/summary,/companies/165594733311064/company-reviews,262485,"NO. 42A, LORONG PERAK, PUSAT BANDAR MELAWATI, TAMAN MELAWATI, KUALA LUMPUR",,,Others,,,,,,,0,0,0,1,0,0,0,0,
1281101,ARTANS CONSTRUCTION SDN BHD (1),,artans-construction-1-1281101,07 8263039,1,5,/companies/1281101/company-reviews/summary,/companies/1281101/company-reviews,159325,,,,Construction/Building/Engineering,,,,,,,1,0,0,0,0,0,0,0,"PTD388, Kampung Bukit Raja Darat, 81600 Pengerang, Johor, Malaysia."
,ARTBEAST GROUP,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
,Arts World Pictures,,,,,,,,,,,,,,,'6380438487',ramaprakashr82@gmail.com,R.Rama Prakash, Co-Director,0,1,0,0,0,0,0,0,
450630,ASCENTRIO SDN. BHD.,"Ascentrio Sdn. Bhd., Leisure Commerce Square, No. 9, Jalan PJS 8/9",ascentrio-450630,671886-U,1,1,/companies/450630/company-reviews/summary,/companies/450630/company-reviews,36207,"Ascentrio Sdn. Bhd., Leisure Commerce Square, No. 9, Jalan PJS 8/9",,,Computer/Information Technology (Software),https://ascentrio.com/,,,,,,0,0,0,0,0,0,0,1,
1.59E+14,Ashisuto Global Technologies Sdn. Bhd.,"Sains@USM CREST Place Block A, No. 10 Persiaran Bukit Jambul 11900 Bayan Lepas Penang, Malaysia",ashisuto-global-technologies-159030093340832,1308692-U,0,0,/companies/159030093340832/company-reviews/summary,/companies/159030093340832/company-reviews,187594,"Sains@USM CREST Place Block A, No. 10 Persiaran Bukit Jambul 11900 Bayan Lepas Penang, Malaysia",,,Computer/Information Technology (Software),,,,,,,0,0,0,0,0,0,0,1,
458068,Asia Tropical Films Sdn Bhd,"No 46 & 48, Jalan Awan Hijau, Taman Overseas Union, 58200 Kuala Lumpur",asia-tropical-films-458068,823702-V,13,2.3077,/companies/458068/company-reviews/summary,/companies/458068/company-reviews,60319,"No 46 & 48, Jalan Awan Hijau, Taman Overseas Union, 58200 Kuala Lumpur",3.081065,101.670736,Entertainment/Media,,,'019-3377515',vkchang@atfilms.com.my,Chang Voon Keat, Line Producer,0,1,0,0,0,0,0,0,
442350,Asian Football Confederation,"AFC House, Jalan 1/155B, Bukit Jalil 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",asian-football-confederation-442350,1232-05-5,29,3.6897,/companies/442350/company-reviews/summary,/companies/442350/company-reviews,9710,"AFC House, Jalan 1/155B, Bukit Jalil 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.056693,101.673044,Sports,,,,,,,0,0,0,0,0,0,0,1,
,Aslak Alriyada Factory For Industry,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,"Jubail Industrial City, P.O.Box 10882, Jubail Industrial City, 31961, Kingdom of Saudi Arabia"
463525,Aspen Vision Development Sdn Bhd,"Aspen House, 300, Jalan Macalister, 10450 George Town, Penang, Malaysia",aspen-vision-development-463525,1031597-H,26,2.7692,/companies/463525/company-reviews/summary,/companies/463525/company-reviews,82778,"Aspen House, 300, Jalan Macalister, 10450 George Town, Penang, Malaysia",,,Property/Real Estate,http://www.aspen.com.my,,,,,,0,0,0,0,0,0,1,0,
